"번호","식당명","카테고리","음식 종류","지역","주소","영업시간","1인당 최소 예산(원)","1인당 최대 예산(원)","최소 인원","최대 인원","어울리는 관계","분위기","대화하기 좋은 정도","대접하는 느낌","서비스 안정감","역에서 가까운 정도","소음 수준","좌석 형태","공간 여유로움","룸 있음?","룸 최소 인원","룸 최소 주문 금액(원)","룸 이용시간 제한(분)","예약 방식","웨이팅 가능성","주차 가능?","주차 방식","추천 이유","주의할 점","정보 확인 날짜","네이버지도 링크","카카오맵 링크","사진 파일 개수"
"1","호우섬 용산아이파크몰점","홍콩식 딤섬 전문점","중식","용산역","서울 용산구 한강대로23길 55","매일 11:00-22:00(라스트오더 21:00)","15000","30000","1","8","친한 친구 / 친구 모임 / 직장 동료","편안한 캐주얼 / 무난한 균형","중","중","중","상","보통","오픈형","중","N","","","","예약 안 받음","중","Y","제휴 주차장","아이파크몰 내에 있어 접근성이 좋고 캐주얼하게 즐기는 홍콩식 딤섬 전문점으로 부담 없는 모임에 어울린다","예약을 받지 않고 현장 웨이팅(대기 등록) 방식으로만 운영되며 주차요금이 10분당 1500원으로 비싼 편이라 사전 정산 확인이 필요하고 룸 여부는 확인되지 않음","2026-07-20","","http://place.map.kakao.com/832404417",""
"2","마제스키야키","관동식 스키야키·샤브샤브 전문점","일식 / 고기·구이","신용산역","서울 용산구 한강대로40길 9-5","매일 11:30-23:00(브레이크타임 15:00-17:00 라스트오더 22:00)","21000","45000","2","10","친한 친구 / 친구 모임 / 가족·친척","적당히 격식 있음(대접) / 무난한 균형","상","상","중","상","보통","반분리형","중","N","","","","전화 예약 필요","상","N","","고급스럽고 아늑한 분위기의 관동식 스키야키 전문점으로 수다 떨며 대화하기 좋아 친구·가족 모임에 적합","자체 주차장이 없어 인근 공영주차장을 이용해야 하며 점심·저녁 피크타임 웨이팅이 잦아 네이버예약/캐치테이블로 사전 예약(네이버 예약 시 1인 1만원 예약금)하는 것이 확실하고 주말 당일 워크인은 어려운 편","2026-07-20","","http://place.map.kakao.com/2096597117",""
"3","오목집 삼각지점","족발 전문 한식당","한식","삼각지역","서울 용산구 한강대로62길 7","매일 16:00-23:00","20000","35000","2","10","친한 친구 / 직장 동료 / 가족·친척","편안한 캐주얼 / 무난한 균형","중","중","중","상","보통","넓은 간격","상","N","","","","전화 예약 필요","중","N","","넓고 정갈한 좌석 배치로 편안한 분위기에서 족발과 함께 모임을 즐기기 좋은 곳","온라인 예약 채널(캐치테이블·네이버예약)은 이 지점에서 확인되지 않아 전화(02-797-6882)로 예약해야 하며 자체 주차장 정보가 확인되지 않아 인근 공영주차장 이용이 필요할 수 있음","2026-07-20","","http://place.map.kakao.com/1539152502",""
"4","쿠촐로서울","이탈리안 레스토랑","양식","신용산역","서울 용산구 한강대로 100","매일 11:30-22:00(브레이크타임 14:30-17:30)","40000","70000","1","12","직장 선배·상사 / 가족·친척 / 친한 친구","격식 있고 차분함 / 적당히 격식 있음(대접)","상","상","상","상","조용함","독립 룸","상","Y","4","","120","전화 예약 필요","중","Y","제휴 주차장","아모레퍼시픽 건물 내 위치한 고급스럽고 조용한 이탈리안 레스토랑으로 프라이빗 룸이 있어 격식 있는 접대나 모임에 적합","룸은 4인 이상부터 예약 가능하며 이용 시 차지비용 5만원이 별도로 부과됨. 캐치테이블 예약이 활발하고 예약 없이도 약간의 대기 후 이용 가능한 편이나 건물 주차장은 2시간 무료 제공에 평일엔 여유가 없는 경우가 있음","2026-07-20","","http://place.map.kakao.com/1729633606",""
"5","용산봉숭아","향토음식 기반 한식 실내포차","한식 / 해산물 / 와인·주류 메뉴","용산역","서울 용산구 한강대로15길 18","월~금 16:30-24:00 토·일·공휴일 16:00-24:00(라스트오더 23:00)","25000","45000","2","12","친한 친구 / 친구 모임 / 직장 동료","편안한 캐주얼 / 무난한 균형","상","중","중","상","보통","독립 룸","중","Y","4","","120","전화 예약 필요","상","Y","셀프","4~5인부터 최대 12명까지 이용 가능한 룸이 있어 조용하게 대화하며 청첩장 모임이나 생일 파티를 하기 좋은 실내포차","주차공간이 협소하고 주말에는 웨이팅이 많아 캐치테이블·네이버예약으로 사전 예약이 필수이며 다만 테라스(야장)석은 예약을 받지 않고 현장 방문 순으로 운영됨","2026-07-20","","http://place.map.kakao.com/1107895548",""
"6","아그라 용산아이파크몰점","인도음식(커리) 전문점","양식","용산역","서울 용산구 한강대로23길 55","매일 11:00-22:00(라스트오더 21:00)","30000","40000","1","130","친한 친구 / 가족·친척","적당히 격식 있음(대접)","상","상","중","상","보통","넓은 간격","상","N","","","","전화 예약 필요","하","Y","제휴 주차장","고급스러운 인테리어와 넓은 좌석으로 대화하며 식사하기 좋고 난·밥 무한리필로 가성비도 좋음","인도 커리 전문점이며 개별 룸은 없는 오픈형 매장이라 완전한 프라이버시가 필요한 자리에는 부적합","2026-07-20","","http://place.map.kakao.com/321274321",""
"7","한량주가","한식 주점(요리주점)","한식 / 와인·주류 메뉴","삼각지역","서울 용산구 이태원로 5","월~금 17:00-01:00 토~일 15:00-01:00","30000","50000","2","40","친한 친구 / 친구 모임 / 직장 동료","편안한 캐주얼 / 무난한 균형","중","중","중","상","활기있음","반분리형","중","N","","","","전화 예약 필요","중","N","","1981년부터 이어온 삼각지 생탕 맛집으로 단체석·연인석·1인석 등 좌석 구성이 다양해 여러 관계의 모임에 두루 어울림","온라인 예약 채널이 확인되지 않아 전화로만 예약 가능하며 금요일 저녁은 대기가 생길 수 있어 사전 예약 권장. 매장 주차는 불가하며 전쟁기념관 북문 쪽 소형차 주차장 이용 필요","2026-07-20","","http://place.map.kakao.com/929159824",""
"8","일일향 용산점","중식 코스요리 전문점","중식","신용산역","서울 용산구 한강대로40길 26 2층","매일 11:30-21:30(브레이크타임 14:30-17:00 라스트오더 20:45)","30000","80000","2","10","직장 동료 / 직장 선배·상사 / 가족·친척 / 친구 모임","적당히 격식 있음(대접)","상","상","중","상","보통","독립 룸","상","Y","4","","","전화 예약 필요","중","Y","발렛","프라이빗 룸을 다수 보유해 회식·접대 모임에 적합하며 두꺼운 탕수육 등 코스요리로 유명함","룸 예약은 최소 1주 전 예약을 권장하며 발렛비는 3000원 별도","2026-07-20","","http://place.map.kakao.com/185719220",""
"9","미미옥 신용산점","한국식 쌀국수·샤브샤브 전문점","한식 / 해산물","신용산역","서울 용산구 한강대로15길 27","매일 11:00-22:00(평일 브레이크타임 15:00-17:00 라스트오더 21:30)","25000","40000","2","8","친한 친구 / 친구 모임 / 직장 동료","무난한 균형","중","중","상","상","활기있음","오픈형","중","N","","","","전화 예약 필요","상","N","","블루리본 선정 샤브샤브·쌀국수 맛집으로 플레이팅이 깔끔하고 서비스가 친절해 대접하는 자리에도 좋음","인기가 많아 예약 없이 방문 시 웨이팅이 자주 발생하며 캐치테이블 예약 시 인당 1만원의 예약금이 필요함. 매장 주차는 불가","2026-07-20","","http://place.map.kakao.com/256180379",""
"10","고메드용산","이자카야(일본식 주점)","일식 / 와인·주류 메뉴","삼각지역","서울 용산구 한강대로54길 25 지하1층·1층","월~금 16:30-03:00(라스트오더 02:00) 토~일 15:30-03:00(라스트오더 02:00)","30000","50000","2","20","친한 친구 / 친구 모임 / 직장 동료","적당히 격식 있음(대접)","중","상","중","상","활기있음","반분리형","상","N","","","","전화 예약 필요","중","N","","동굴과 폭포 컨셉의 독특한 인테리어를 갖춘 신흥 이자카야로 사시미·모츠나베 등 메뉴가 다양하고 분위기가 뛰어남","매장 주차는 불가해 인근 공영주차장을 이용해야 하며 라스트오더가 새벽 2시로 늦어 귀가 수단을 미리 고려해야 함. 온라인 예약 채널은 확인되지 않아 전화 예약을 권장","2026-07-20","","http://place.map.kakao.com/415809500",""
"11","심퍼티쿠시 용산점","유러피언 캐주얼 다이닝(파스타·스테이크·와인)","양식 / 와인·주류 메뉴","삼각지역","서울 용산구 한강대로52길 17-3","월-금 11:00-22:00(브레이크타임 15:00-17:00) 토-일 11:30-22:00(브레이크타임 15:30-17:00) 라스트오더 21:00","30000","50000","1","8","친한 친구 / 친구 모임 / 직장 동료","무난한 균형","중","중","중","상","보통","오픈형","중","N","","","","전화 예약 필요","상","N","","고사리파스타·리조또 등 아시안 터치를 가미한 유러피언 메뉴와 와인을 삼각지역 도보권에서 캐주얼하게 즐길 수 있어 소규모 모임에 좋음","주말 저녁은 웨이팅이 잦은 편이고 전용 주차장이 없어 인근 공영주차장을 이용해야 함","2026-07-20","","http://place.map.kakao.com/1740706159",""
"12","포이키친","퓨전일식 캐주얼 다이닝(용문시장 식재료 기반)","일식 / 와인·주류 메뉴","용산역","서울 용산구 새창로 128-9","매주 월요일 휴무 화-일 17:00-23:00","10000","40000","1","6","친한 친구 / 직장 동료","편안한 캐주얼","중","중","중","상","보통","오픈형","중","N","","","","전화 예약 필요","중","N","","용문시장에서 장을 본 제철 식재료로 만든 퓨전 요리와 사케·위스키·소주를 함께 즐길 수 있는 캐주얼 다이닝","메뉴 가격·좌석 규모·정확한 예약 채널에 대한 자료를 찾지 못해 방문 전 전화 확인을 권장함(정보 확인 안됨). 월요일은 휴무임","2026-07-20","","http://place.map.kakao.com/1582696611",""
"13","쇼니노","이탈리안 브런치 바(박제현 셰프)","양식 / 브런치·카페","용산역","서울 용산구 한강대로21길 17-18","월요일 휴무 화-금 10:00-22:00(브레이크타임 16:00-18:00) 토 10:00-22:00(브레이크타임 17:30-18:00) 일 09:00-20:00","25000","45000","1","6","친한 친구 / 가족·친척","무난한 균형","하","중","상","상","활기있음","오픈형","하","N","","","","전화 예약 필요","상","N","","흑백요리사 출연 셰프가 운영하는 포지타노풍 인테리어의 이탈리안 브런치 맛집으로 브루스케타·시푸드 오일 파스타 등 시그니처 메뉴 평이 좋고 캐치테이블로 예약이 가능함","테이블 간격이 좁아 옆자리와 가까운 편이고 월요일은 휴무이며 디너 타임에는 주류 주문이 필수임","2026-07-20","","http://place.map.kakao.com/232272017",""
"14","먼치 용산","캐주얼 다이닝 바(파스타·와인)","양식 / 와인·주류 메뉴","신용산역","서울 용산구 한강대로38가길 7-26","매일 11:30-22:00(브레이크타임 15:00-17:30)","35000","55000","1","6","친한 친구 / 직장 동료","무난한 균형","상","중","상","상","조용함","오픈형","중","N","","","","전화 예약 필요","하","N","","용리단길에 위치한 조용한 캐주얼 다이닝 바로 페코리노 치즈 리가토니·봉골레 파스타 등 시그니처 메뉴와 하우스와인이 좋은 평가를 받음","전용 주차장이 없어 주차가 어려운 편이며 내부 공간이 작아(7~8팀 규모) 예약 없이는 대기할 수 있음","2026-07-20","","http://place.map.kakao.com/1489848230",""
"15","크리스탈제이드 용산아이파크몰점","정통 상해식 중식당(딤섬 전문)","중식","용산역","서울 용산구 한강대로23길 55","매일 11:00-22:00(브레이크타임 15:00-16:00 라스트오더 21:30)","20000","45000","1","16","가족·친척 / 직장 선배·상사 / 직장 동료","적당히 격식 있음(대접)","중","상","중","상","보통","독립 룸","상","Y","","","","전화 예약 필요","상","Y","제휴 주차장","소롱포 등 정통 상해식 딤섬과 프라이빗 룸을 갖춰 격식 있는 소규모 접대·모임에 적합하며 아이파크몰 주차 연계로 접근성도 좋음","대기가 많은 편이라 예약 없이는 웨이팅이 길 수 있으며 룸 최소 인원·주문 금액 등 세부 조건은 자료로 확인되지 않아 방문 전 문의 필요","2026-07-20","","http://place.map.kakao.com/1667431464",""
"16","버누드","다이닝바","한식 / 고기·구이 / 와인·주류 메뉴","신용산역","서울 용산구 한강대로21길 17-7 2층","매일 17:00-24:00","18000","35000","2","6","친한 친구 / 기타","무난한 균형","중","중","중","상","보통","오픈형","중","N","","","","전화 예약 필요","중","N","","신용산역 도보 6분 거리의 신상 다이닝바로, 숯불요리 기반 안주 메뉴가 있어 소개팅이나 소규모 모임 장소로 추천됨","매장 자체 주차 공간은 없어 인근 민영 주차장을 이용해야 함","2026-07-20","","http://place.map.kakao.com/1815712320",""
"17","양복점 용산점","양꼬치 전문점","고기·구이","신용산역","서울 용산구 새창로 209 1층","월~금 15:30-24:00(라스트오더 23:00), 토·일 14:30-24:00(라스트오더 23:00)","30000","50000","2","10","친한 친구 / 친구 모임 / 직장 동료","편안한 캐주얼","중","하","중","상","활기있음","반분리형","중","Y","6","","","전화 예약 필요","상","N","","신용산역 도보 5분 거리, 다양한 소스와 질 좋은 양꼬치, 2층 룸에서 단체 모임 가능","평일 저녁에도 웨이팅이 있을 수 있어 캐치테이블·테이블링으로 사전 확인 추천. 전용 주차장 없어 인근 공영주차장 이용 필요","2026-07-20","","http://place.map.kakao.com/1925523497",""
"18","우나 용산본점","일식당","일식","신용산역","서울 용산구 한강대로 37 에피소드 용산 2층","매일 11:30-22:00(브레이크타임 15:00-17:00)","42000","58000","1","8","가족·친척 / 직장 동료 / 직장 선배·상사","적당히 격식 있음(대접)","상","상","상","상","조용함","독립 룸","상","Y","4","","","전화 예약 필요","중","Y","제휴 주차장","신용산역 인접, 히츠마부시를 현대적으로 재해석한 프라이빗 일식 다이닝으로 4~8인 룸을 보유해 소규모 모임에 적합","브레이크타임(15:00-17:00)에는 이용이 어려우니 방문 시간을 미리 확인하는 게 좋음","2026-07-20","","http://place.map.kakao.com/1908727456",""
